ESFJ	After retiring from active business my husband yielded to the earnest
ESFJ	memoirs was reserved for his play-time in Scotland. For a few weeks
ESFJ	engaged in July, 1914, when the war clouds began to gather, and when
ESFJ	interest himself in private affairs. Many times he made the attempt to
ESFJ	failure of his hopes, the world disaster was too much. His heart was
ESFJ	Perhaps the most inspiring part of Mr. Carnegie's life, to those who
ESFJ	brighter until "he was not, for God took him."
ESFJ	friends. Much I have written from time to time may, I think, wisely be
ESFJ	John C. Van Dyke? When the manuscript was shown to him, he remarked,
ESFJ	a rare and beautiful friendship.
ESFJ	The story of a man's life, especially when it is told by the man
ESFJ	truth may be found in apparent exaggeration. Therefore, in preparing
ESFJ	have been added; but the narrative is the thing.
ESFJ	of this poor Scotch boy who came to America and step by step, through
ESFJ	wealth that can be neither ignored nor forgotten, and set a pace in
ESFJ	lofty. But these were merely interesting happenings in his life as
ESFJ	The generations hereafter may realize the wonder of it more fully than
ESFJ	JOHN C. VAN DYKE
ESFJ	If the story of any man's life, truly told, must be interesting, as
ESFJ	me, and that knowledge will encourage me to proceed.
ESFJ	satisfaction to his friends, and must continue to influence succeeding
ESFJ	notice, being designed only for his family. In like manner I intend to
ESFJ	To begin, then, I was born in Dunfermline, in the attic of the small
ESFJ	damask weaver, the son of Andrew Carnegie after whom I was named.
ESFJ	My Grandfather Carnegie was well known throughout the district for his
ESFJ	approached by an old man who had been told that I was the grandson of
ESFJ	upon my head he said: "And ye are the grandson o' Andra Carnegie! Eh,
ESFJ	grandfather. Here is one of them:
ESFJ	seventy-five was out frightening his old lady friends, disguised like
ESFJ	have been inherited from this delightful old masquerading grandfather
ESFJ	if he be anything of a philosopher, provided that self-reproach comes
ESFJ	"Thine own reproach alone do fear."
ESFJ	read and thought for himself he became associated with the radical
ESFJ	This motto adopted early in life has been more to me than all the
ESFJ	"But I get a bit fine doze i' the kirk noo and then."
ESFJ	Morrison speak of him as one of the finest orators and ablest men they
ESFJ	the most remarkable of them is a pamphlet which he published
ESFJ	learned to make and mend shoes." Cobbett published it in the
ESFJ	scribbling propensities by inheritance--from both sides, for the
ESFJ	successor. More than one well-known Scotsman in America has called
ESFJ	remarkable history of Dunfermline, stated that he largely owed his
ESFJ	pleased me so much as this from a writer in a Glasgow newspaper, who
ESFJ	"Judge my surprise when I found in the grandson on the platform, in
ESFJ	first return to Dunfermline in my twenty-seventh year, while sitting
ESFJ	come back at intervals. Some gesture it was, but what precisely he
ESFJ	impressed.
ESFJ	the Battle of Waterloo involved him in ruin, as it did thousands; so
ESFJ	trust myself to speak at length. She inherited from her mother the
ESFJ	death she was all my own. The dedication of my first book[4] tells the
ESFJ	Fortunate in my ancestors I was supremely so in my birthplace. Where
ESFJ	by its noble Abbey, the Westminster of Scotland, founded early in the
ESFJ	King Malcolm's Tower, with which the old ballad of "Sir Patrick Spens"
ESFJ	give "town" instead of "tower"; but Mr. Carnegie insisted that it
ESFJ	town, which occupies high ground three miles north of the Firth of
ESFJ	The child privileged to develop amid such surroundings absorbs poetry
ESFJ	stern reality. Even then, and till his last day, the early impressions
ESFJ	the influence of the Abbey, Palace, and Glen. These touch him and set
ESFJ	pervaded both.
ESFJ	houses, by outside stairs from the pavement. It is here that my
ESFJ	pointing out Lake Erie and Niagara. Soon after my uncle and Aunt
ESFJ	to be carried, and I believe was carried by my father, or uncle, or
ESFJ	the whole family circle was in a ferment.
ESFJ	aid of the soldiers had arrested him a few miles from the town where
ESFJ	Carnegie thus recalled the shock which was given to his boy mind: "One
ESFJ	jail to vindicate the rights of public assembly." (Mackie.)]
ESFJ	of the good cause here to-night, let him fold his arms." They did so.
ESFJ	[Footnote 7: "The Crown agents wisely let the proceedings lapse....
ESFJ	criminal authorities endeavored to convict as a law-breaker became by
ESFJ	denunciations of monarchical and aristocratic government, of privilege
ESFJ	child I could have slain king, duke, or lord, and considered their
ESFJ	good way and therefore earned the right to public respect. There was
ESFJ	intelligent men could live where another human being was born to a
ESFJ	As easily as a king."
ESFJ	creditable to the cause of radicalism because in the days of which I
ESFJ	at home.
ESFJ	were upon every one's tongue. I was often attracted, small as I was,
ESFJ	read every evening to the people, strangely enough, from one of the
ESFJ	expected, I was as deeply interested as any of the family and attended
ESFJ	enthusiasm. Looking up to the man under whose legs I had found
ESFJ	Burghs. I made the criticism at home that Mr. Bright did not speak
ESFJ	did not know what privilege meant, but my father did.
ESFJ	was placarded with the enquiry: Would you vote for a "Unitawrian"? It
ESFJ	"Man, I canna vote for a Unitawrian," said the Chairman.
ESFJ	The change from hand-loom to steam-loom weaving was disastrous to our
ESFJ	family fortune. She opened a small shop in Moodie Street and
ESFJ	the great manufacturer, and I saw my mother anxiously awaiting his
ESFJ	"Beg a brother of the earth
ESFJ	privation my mother would not have gone that she might see her two
ESFJ	up I showed no disposition to ask. The schoolmaster, Mr. Robert
ESFJ	school.[8] I need not say the permission was duly granted. I had then
ESFJ	prevented my attendance I was unhappy. This happened every now and
ESFJ	secured through the night by placing a worthless can in the line.
ESFJ	which has always remained with me.
ESFJ	satisfaction of feeling that I became useful to my parents even at the
ESFJ	boys nicknamed me "Martin's pet," and sometimes called out that
